GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mockito,exception,ValidationException,3,4,0,0,2,2,1,1,1,1
mockito,exception,EntityNotFoundException,11,0,0,0,4,0,2,0,2,0
mockito,dao,DBUtil,25,0,0,0,7,0,3,0,3,0
mockito,dao,CategoryDB,61,161,6,4,16,38,6,7,2,6
mockito,dao,Class1,7,0,0,0,3,0,2,0,2,0
mockito,dao,ChildDB,132,181,10,8,34,48,10,10,4,7
mockito,service,ChildService,0,171,0,12,0,39,0,11,0,5
mockito,service,CategoryService,0,119,0,6,0,30,0,7,0,4
mockito,model,Club,45,0,0,0,19,0,13,0,13,0
mockito,model,Category,0,18,0,0,0,3,0,2,0,2
mockito,model,Child,0,34,0,0,0,5,0,3,0,3
